,Theme,FeatureVector,WordVector
Malaysia,Geography,[0. 0. 0. ... 0. 0. 0.],"['malaysia', 'listen', 'mə', 'lay', 'zee', 'ə', '\u2060zhə', 'malay', 'məlejsiə', 'country', 'southeast', 'asia', 'federal', 'constitutional', 'monarchy', 'consist', 'thirteen', 'state', 'three', 'federal', 'territory', 'separate', 'south', 'china', 'sea', 'two', 'region', 'peninsular', 'malaysia', 'borneo', 'east', 'malaysia', 'peninsular', 'malaysia', 'share', 'land', 'maritime', 'border', 'thailand', 'maritime', 'border', 'singapore', 'vietnam', 'indonesia', 'east', 'malaysia', 'share', 'land', 'maritime', 'border', 'brunei', 'indonesia', 'maritime', 'border', 'philippine', 'vietnam', 'kuala', 'lumpur', 'national', 'capital', 'large', 'city', 'seat', 'legislative', 'branch', 'federal', 'government', 'nearby', 'plan', 'capital', 'putrajaya', 'administrative', 'capital', 'represent', 'seat', 'executive', 'branch', 'cabinet', 'federal', 'ministry', 'agency', 'judicial', 'branch', 'federal', 'government', 'population', '32', 'million', 'malaysia', 'world', '45th', 'populous', 'country', 'southernmost', 'point', 'continental', 'eurasia', 'tanjung', 'piai', 'tropic', 'malaysia', 'one', '17', 'megadiverse', 'country', 'home', 'numerous', 'endemic', 'specie', 'malaysia', 'origin', 'malay', 'kingdom', '18th', 'century', 'become', 'subject', 'british', 'empire', 'along', 'british', 'strait', 'settlement', 'protectorate', 'peninsular', 'malaysia', 'unify', 'malayan', 'union', '1946', 'malaya', 'restructure', 'federation', 'malaya', '1948', 'achieve', 'independence', '31', 'august', '1957', 'independent', 'malaya', 'united', 'british', 'crown', 'colony', 'north', 'borneo', 'sarawak', 'singapore', '16', 'september', '1963', 'become', 'malaysia', 'august', '1965', 'singapore', 'expel', 'federation', 'become', 'separate', 'independent', 'country', 'country', 'multiethnic', 'multicultural', 'significant', 'effect', 'politics', 'half', 'population', 'ethnically', 'malay', 'minority', 'chinese', 'indian', 'indigenous', 'people', 'country', 'official', 'language', 'malaysian', 'standard', 'form', 'malay', 'language', 'english', 'remain', 'active', 'second', 'language', 'recognise', 'islam', 'country', 'establish', 'religion', 'constitution', 'grant', 'freedom', 'religion', 'non', 'muslims', 'government', 'model', 'westminster', 'parliamentary', 'system', 'legal', 'system', 'base', 'common', 'law', 'head', 'state', 'elect', 'monarch', 'chosen', 'among', 'nine', 'state', 'sultan', 'every', 'five', 'year', 'head', 'government', 'prime', 'minister', 'independence', 'malaysian', 'gdp', 'grow', 'average', '6', '5', 'per', 'annum', 'almost', '50', 'year', 'economy', 'traditionally', 'fuelled', 'natural', 'resource', 'expand', 'sector', 'science', 'tourism', 'commerce', 'medical', 'tourism', 'malaysia', 'newly', 'industrialise', 'market', 'economy', 'rank', 'third', 'large', 'southeast', 'asia', '33rd', 'large', 'world', 'found', 'member', 'asean', 'ea', 'oic', 'member', 'apec', 'commonwealth', 'non', 'align', 'movement']"
Mammal,Science,[0.00831025 0.01108033 0.00554017 ... 0.         0.         0.        ],"['mammal', 'latin', 'mamma', 'breast', 'group', 'vertebrate', 'animal', 'constitute', 'class', 'mammalia', 'characterize', 'presence', 'mammary', 'gland', 'female', 'produce', 'milk', 'feed', 'nursing', 'young', 'neocortex', 'region', 'brain', 'fur', 'hair', 'three', 'middle', 'ear', 'bone', 'characteristic', 'distinguish', 'reptile', 'include', 'bird', 'diverge', 'carboniferous', '300', 'million', 'year', 'ago', 'around', '6', '400', 'extant', 'specie', 'mammal', 'describe', 'divided', '29', 'order', 'large', 'order', 'term', 'number', 'specie', 'rodent', 'bat', 'eulipotyphla', 'hedgehog', 'mole', 'shrews', 'others', 'next', 'three', 'primate', 'include', 'human', 'ape', 'monkey', 'others', 'artiodactyla', 'cetacean', 'even', 'toe', 'ungulate', 'carnivora', 'cat', 'dog', 'seal', 'others', 'term', 'cladistics', 'reflect', 'evolutionary', 'history', 'mammal', 'live', 'member', 'synapsida', 'synapsid', 'clade', 'together', 'sauropsida', 'reptile', 'bird', 'constitutes', 'large', 'amniota', 'clade', 'early', 'synapsid', 'sphenacodonts', 'group', 'include', 'famous', 'dimetrodon', 'synapsid', 'split', 'several', 'diverse', 'group', 'non', 'mammalian', 'synapsid', '—', 'traditionally', 'incorrectly', 'refer', 'mammal', 'like', 'reptile', 'term', 'pelycosaur', 'know', 'stem', 'mammal', 'protomammal', '—', 'give', 'rise', 'therapsid', 'begin', 'middle', 'permian', 'period', 'mammal', 'originate', 'cynodont', 'advanced', 'group', 'therapsid', 'late', 'triassic', 'early', 'jurassic', 'modern', 'mammalian', 'order', 'arise', 'paleogene', 'neogene', 'period', 'cenozoic', 'era', 'extinction', 'non', 'avian', 'dinosaur', 'dominant', 'terrestrial', 'animal', 'group', '66', 'million', 'year', 'ago', 'present', 'basic', 'body', 'type', 'quadruped', 'mammal', 'use', 'four', 'extremity', 'terrestrial', 'locomotion', 'extremity', 'adapt', 'life', 'sea', 'air', 'tree', 'underground', 'two', 'legs', 'mammal', 'range', 'size', '30–40', 'mm', '1', '2–1', '6', 'bumblebee', 'bat', '30', '98', 'ft', 'blue', 'whale—possibly', 'large', 'animal', 'ever', 'live', 'maximum', 'lifespan', 'varies', 'two', 'year', 'shrew', '211', 'year', 'bowhead', 'whale', 'modern', 'mammal', 'give', 'birth', 'live', 'young', 'except', 'five', 'specie', 'monotreme', 'egg', 'lay', 'mammal', 'specie', 'rich', 'group', 'mammal', 'cohort', 'call', 'placental', 'placenta', 'enables', 'feed', 'fetus', 'gestation', 'mammal', 'intelligent', 'possess', 'large', 'brain', 'self', 'awareness', 'tool', 'use', 'mammal', 'communicate', 'vocalize', 'several', 'way', 'include', 'production', 'ultrasound', 'scent', 'mark', 'alarm', 'signal', 'sing', 'echolocation', 'mammal', 'organize', 'fission', 'fusion', 'society', 'harems', 'hierarchies—but', 'also', 'solitary', 'territorial', 'mammal', 'polygynous', 'monogamous', 'polyandrous', 'domestication', 'many', 'type', 'mammal', 'human', 'play', 'major', 'role', 'neolithic', 'revolution', 'result', 'farm', 'replace', 'hunt', 'gather', 'primary', 'source', 'food', 'human', 'lead', 'major', 'restructuring', 'human', 'society', 'nomadic', 'sedentary', 'co', 'operation', 'among', 'large', 'large', 'group', 'ultimately', 'development', 'first', 'civilization', 'domesticate', 'mammal', 'provide', 'continue', 'provide', 'power', 'transport', 'agriculture', 'well', 'food', 'meat', 'dairy', 'product', 'fur', 'leather', 'mammal', 'also', 'hunt', 'raced', 'sport', 'use', 'model', 'organisms', 'science', 'mammal', 'depict', 'art', 'since', 'paleolithic', 'time', 'appear', 'literature', 'film', 'mythology', 'religion', 'decline', 'number', 'extinction', 'many', 'mammal', 'primarily', 'drive', 'human', 'poach', 'habitat', 'destruction', 'primarily', 'deforestation']"
Man,Everyday life,[0.         0.02040816 0.         ... 0.         0.         0.        ],"['man', 'adult', 'male', 'human', 'prior', 'adulthood', 'male', 'human', 'refer', 'boy', 'male', 'child', 'adolescent', 'like', 'male', 'mammal', 'man', 'genome', 'usually', 'inherits', 'x', 'chromosome', 'mother', 'chromosome', 'father', 'sex', 'differentiation', 'male', 'fetus', 'govern', 'sry', 'gene', 'chromosome', 'puberty', 'hormone', 'stimulate', 'androgen', 'production', 'result', 'development', 'secondary', 'sexual', 'characteristic', 'thus', 'exhibit', 'great', 'difference', 'sex', 'include', 'great', 'muscle', 'mass', 'growth', 'facial', 'hair', 'lower', 'body', 'fat', 'composition', 'male', 'anatomy', 'distinguish', 'female', 'anatomy', 'male', 'reproductive', 'system', 'include', 'penis', 'testicle', 'sperm', 'duct', 'prostate', 'gland', 'epididymis', 'well', 'secondary', 'sex', 'characteristic', 'trans', 'men', 'gender', 'identity', 'align', 'female', 'sex', 'assignment', 'birth', 'intersex', 'men', 'may', 'sex', 'characteristic', 'fit', 'typical', 'notion', 'male', 'biology']"
Management,Society and social sciences,[0.00393701 0.00787402 0.00393701 ... 0.         0.         0.        ],"['management', 'manage', 'administration', 'organization', 'whether', 'business', 'non', 'profit', 'organization', 'government', 'body', 'art', 'science', 'manage', 'resource', 'business', 'management', 'include', 'activity', 'set', 'strategy', 'organization', 'coordinate', 'effort', 'employee', 'volunteer', 'accomplish', 'objective', 'application', 'available', 'resource', 'financial', 'natural', 'technological', 'human', 'resource', 'run', 'business', 'change', 'business', 'two', 'concept', 'use', 'management', 'differentiate', 'continue', 'delivery', 'good', 'service', 'adapt', 'good', 'service', 'meet', 'change', 'need', 'customer', 'see', 'trend', 'term', 'management', 'may', 'also', 'refer', 'people', 'manage', 'organization—managers', 'people', 'study', 'management', 'college', 'university', 'major', 'degree', 'management', 'include', 'bachelor', 'commerce', 'b', 'com', 'bachelor', 'business', 'administration', 'bba', 'master', 'business', 'administration', 'mba', 'master', 'management', 'msm', 'mim', 'public', 'sector', 'master', 'public', 'administration', 'mpa', 'degree', 'individual', 'aim', 'become', 'management', 'specialist', 'expert', 'management', 'researcher', 'professor', 'may', 'complete', 'doctor', 'management', 'dm', 'doctor', 'business', 'administration', 'dba', 'ph', 'business', 'administration', 'management', 'past', 'decade', 'movement', 'evidence', 'base', 'management', 'large', 'organization', 'generally', 'three', 'hierarchical', 'level', 'manager', 'pyramid', 'structure', 'senior', 'manager', 'member', 'board', 'director', 'chief', 'executive', 'officer', 'ceo', 'president', 'organization', 'set', 'strategic', 'goal', 'organization', 'make', 'decision', 'overall', 'organization', 'operate', 'senior', 'manager', 'generally', 'executive', 'level', 'professional', 'provide', 'direction', 'middle', 'management', 'directly', 'indirectly', 'report', 'middle', 'manager', 'branch', 'manager', 'regional', 'manager', 'department', 'manager', 'section', 'manager', 'provide', 'direction', 'front', 'line', 'manager', 'communicate', 'strategic', 'goal', 'senior', 'management', 'front', 'line', 'manager', 'line', 'manager', 'supervisor', 'front', 'line', 'team', 'leader', 'oversee', 'work', 'regular', 'employee', 'volunteer', 'voluntary', 'organization', 'provide', 'direction', 'work', 'line', 'manager', 'often', 'perform', 'traditional', 'function', 'management', 'usually', 'consider', 'part', 'workforce', 'proper', 'part', 'organization', 'management', 'small', 'organization', 'manager', 'may', 'much', 'wide', 'scope', 'may', 'perform', 'several', 'role', 'even', 'role', 'commonly', 'observe', 'large', 'organization', 'social', 'scientist', 'study', 'management', 'academic', 'discipline', 'investigate', 'area', 'social', 'organization', 'organizational', 'adaptation', 'organizational', 'leadership']"
Mansa Musa,People,[0.         0.00628931 0.         ... 0.         0.         0.        ],"['mansa', 'musa', 'arabic', 'منسا', 'موسى', 'romanize', 'mansā', 'mūsā', 'r', 'c', '1312', '–', 'c', '1337', 'ninth', 'mansa', 'mali', 'empire', 'reach', 'territorial', 'peak', 'reign', 'musa', 'know', 'wealth', 'gift', 'give', 'sometimes', 'call', 'wealthy', 'person', 'history', 'rich', 'come', 'mine', 'significant', 'gold', 'salt', 'deposit', 'mali', 'empire', 'along', 'slave', 'ivory', 'trade', 'time', 'musa', 'ascension', 'throne', 'mali', 'large', 'part', 'consist', 'territory', 'former', 'ghana', 'empire', 'mali', 'conquer', 'mali', 'empire', 'consist', 'land', 'part', 'guinea', 'senegal', 'mauritania', 'gambia', 'modern', 'state', 'mali', 'musa', 'go', 'hajj', 'mecca', '1324', 'travel', 'enormous', 'entourage', 'vast', 'supply', 'gold', 'en', 'route', 'spent', 'time', 'cairo', 'lavish', 'gift', 'give', 'say', 'noticeably', 'affect', 'value', 'gold', 'egypt', 'garner', 'attention', 'wider', 'muslim', 'world', 'musa', 'expand', 'border', 'mali', 'empire', 'particular', 'incorporating', 'city', 'gao', 'timbuktu', 'territory', 'seek', 'closer', 'tie', 'rest', 'muslim', 'world', 'particularly', 'mamluk', 'marinid', 'sultanate', 'recruit', 'scholar', 'wider', 'muslim', 'world', 'travel', 'mali', 'andalusian', 'poet', 'abu', 'ishaq', 'al', 'sahili', 'help', 'establish', 'timbuktu', 'center', 'islamic', 'learn', 'reign', 'associate', 'numerous', 'construction', 'project', 'include', 'part', 'djinguereber', 'mosque', 'timbuktu', 'musa', 'reign', 'often', 'regard', 'zenith', 'mali', 'power', 'prestige']"
Manufacturing,Society and social sciences,[0.00826446 0.00826446 0.         ... 0.         0.         0.        ],"['manufacture', 'creation', 'production', 'good', 'help', 'equipment', 'labor', 'machine', 'tool', 'chemical', 'biological', 'processing', 'formulation', 'essence', 'secondary', 'sector', 'economy', 'term', 'may', 'refer', 'range', 'human', 'activity', 'handicraft', 'high', 'tech', 'commonly', 'apply', 'industrial', 'design', 'raw', 'material', 'primary', 'sector', 'transform', 'finish', 'good', 'large', 'scale', 'good', 'may', 'sell', 'manufacturer', 'production', 'complex', 'product', 'aircraft', 'household', 'appliance', 'furniture', 'sport', 'equipment', 'automobile', 'distribute', 'via', 'tertiary', 'industry', 'end', 'user', 'consumer', 'usually', 'wholesalers', 'turn', 'sell', 'retailer', 'sell', 'individual', 'customer', 'manufacture', 'engineering', 'field', 'engineering', 'design', 'optimize', 'manufacture', 'process', 'step', 'raw', 'material', 'transform', 'final', 'product', 'manufacturing', 'process', 'begin', 'product', 'design', 'material', 'specification', 'material', 'modify', 'manufacture', 'become', 'desire', 'product', 'modern', 'manufacturing', 'include', 'intermediate', 'process', 'involve', 'production', 'integration', 'product', 'component', 'industry', 'semiconductor', 'steel', 'manufacturer', 'use', 'term', 'fabrication', 'instead', 'manufacture', 'sector', 'closely', 'connected', 'engineering', 'industrial', 'design', 'industry']"
Mao Zedong,People,[0.         0.         0.00475059 ... 0.         0.         0.        ],"['mao', 'zedong', '26', 'december', '1893', '–', '9', 'september', '1976', 'also', 'know', 'chairman', 'mao', 'chinese', 'communist', 'revolutionary', 'founder', 'people', 'republic', 'china', 'prc', 'lead', 'chairman', 'chinese', 'communist', 'party', 'establishment', 'prc', '1949', 'death', '1976', 'ideologically', 'marxist–leninist', 'theory', 'military', 'strategy', 'political', 'policy', 'collectively', 'know', 'maoism', 'mao', 'son', 'prosperous', 'peasant', 'shaoshan', 'hunan', 'support', 'chinese', 'nationalism', 'anti', 'imperialist', 'outlook', 'early', 'life', 'particularly', 'influenced', 'event', 'xinhai', 'revolution', '1911', 'may', 'fourth', 'movement', '1919', 'later', 'adopt', 'marxism–leninism', 'work', 'peking', 'university', 'librarian', 'become', 'founding', 'member', 'chinese', 'communist', 'party', 'ccp', 'lead', 'autumn', 'harvest', 'uprising', '1927', 'chinese', 'civil', 'war', 'kuomintang', 'kmt', 'ccp', 'mao', 'help', 'find', 'chinese', 'worker', 'peasant', 'red', 'army', 'lead', 'jiangxi', 'soviet', 'radical', 'land', 'policy', 'ultimately', 'become', 'head', 'ccp', 'long', 'march', 'although', 'ccp', 'temporarily', 'ally', 'kmt', 'second', 'united', 'front', 'second', 'sino', 'japanese', 'war', '1937–1945', 'china', 'civil', 'war', 'resume', 'japan', 'surrender', 'mao', 'force', 'defeat', 'nationalist', 'government', 'withdraw', 'taiwan', '1949', 'october', '1', '1949', 'mao', 'proclaim', 'foundation', 'prc', 'marxist–leninist', 'single', 'party', 'state', 'control', 'ccp', 'follow', 'year', 'solidify', 'control', 'chinese', 'land', 'reform', 'landlord', 'campaign', 'suppress', 'counterrevolutionary', 'three', 'anti', 'five', 'anti', 'campaigns', 'psychological', 'victory', 'korean', 'war', 'altogether', 'result', 'deaths', 'several', 'million', 'chinese', '1953', '1958', 'mao', 'play', 'important', 'role', 'enforce', 'planned', 'economy', 'china', 'construct', 'first', 'constitution', 'prc', 'launch', 'industrialisation', 'program', 'initiate', 'military', 'project', 'two', 'bomb', 'one', 'satellite', 'project', 'project', '523', 'foreign', 'policy', 'time', 'dominate', 'sino', 'soviet', 'split', 'drive', 'wedge', 'china', 'soviet', 'union', '1955', 'mao', 'launch', 'sufan', 'movement', '1957', 'launch', 'anti', 'rightist', 'campaign', 'least', '550', '000', 'people', 'mostly', 'intellectual', 'dissident', 'persecute', '1958', 'launch', 'great', 'leap', 'forward', 'aim', 'rapidly', 'transform', 'china', 'economy', 'agrarian', 'industrial', 'lead', 'deadly', 'famine', 'history', 'death', '15–55', 'million', 'people', '1958', '1962', '1963', 'mao', 'launch', 'socialist', 'education', 'movement', '1966', 'initiated', 'cultural', 'revolution', 'program', 'remove', 'counter', 'revolutionary', 'element', 'chinese', 'society', 'last', '10', 'year', 'mark', 'violent', 'class', 'struggle', 'widespread', 'destruction', 'cultural', 'artifact', 'unprecedented', 'elevation', 'mao', 'cult', 'personality', 'tens', 'million', 'people', 'persecute', 'revolution', 'estimate', 'number', 'death', 'range', 'hundred', 'thousand', 'million', 'year', 'ill', 'health', 'mao', 'suffer', 'series', 'heart', 'attack', '1976', 'die', 'age', '82', 'mao', 'era', 'china', 'population', 'grow', 'around', '550', 'million', '900', 'million', 'government', 'strictly', 'enforce', 'family', 'planning', 'policy', 'controversial', 'figure', 'within', 'outside', 'china', 'mao', 'still', 'regard', 'one', 'influential', 'figure', 'twentieth', 'century', 'beyond', 'politics', 'mao', 'also', 'know', 'theorist', 'military', 'strategist', 'poet', 'mao', 'era', 'china', 'heavily', 'involve', 'southeast', 'asian', 'communist', 'conflict', 'korean', 'war', 'vietnam', 'war', 'cambodian', 'civil', 'war', 'bring', 'khmer', 'rouge', 'power', 'rule', 'china', 'autocratic', 'totalitarian', 'regime', 'responsible', 'mass', 'repression', 'well', 'destruction', 'religious', 'cultural', 'artifact', 'sites', 'government', 'responsible', 'vast', 'number', 'death', 'estimate', 'range', '40', '80', 'million', 'victim', 'starvation', 'persecution', 'prison', 'labour', 'mass', 'execution', 'mao', 'praised', 'transform', 'china', 'semi', 'colony', 'lead', 'world', 'power', 'greatly', 'advance', 'literacy', 'woman', 'right', 'basic', 'healthcare', 'primary', 'education', 'life', 'expectancy']"
Map,Technology,[0.00980392 0.         0.         ... 0.         0.         0.        ],"['map', 'symbolic', 'depiction', 'emphasize', 'relationship', 'element', 'space', 'object', 'region', 'themes', 'many', 'map', 'static', 'fixed', 'paper', 'durable', 'medium', 'others', 'dynamic', 'interactive', 'although', 'commonly', 'use', 'depict', 'geography', 'map', 'may', 'represent', 'space', 'real', 'fictional', 'without', 'regard', 'context', 'scale', 'brain', 'mapping', 'dna', 'mapping', 'computer', 'network', 'topology', 'map', 'space', 'map', 'may', 'two', 'dimensional', 'surface', 'earth', 'three', 'dimensional', 'interior', 'earth', 'even', 'abstract', 'space', 'dimension', 'arise', 'model', 'phenomena', 'many', 'independent', 'variable', 'although', 'early', 'map', 'know', 'heaven', 'geographic', 'map', 'territory', 'long', 'tradition', 'exist', 'ancient', 'time', 'word', 'map', 'come', 'medieval', 'latin', 'mappa', 'mundi', 'wherein', 'mappa', 'mean', 'napkin', 'cloth', 'mundi', 'world', 'thus', 'map', 'become', 'shortened', 'term', 'refer', 'two', 'dimensional', 'representation', 'surface', 'world']"
Marco Polo,People,[0.         0.0037037  0.01481481 ... 0.         0.         0.        ],"['marco', 'polo', 'listen', 'venetian', 'ˈmaɾko', 'ˈpolo', 'italian', 'ˈmarko', 'ˈpɔːlo', 'listen', 'c', '1254', '–', '8', 'january', '1324', 'venetian', 'merchant', 'explorer', 'writer', 'travel', 'asia', 'along', 'silk', 'road', '1271', '1295', 'travel', 'record', 'travel', 'marco', 'polo', 'also', 'know', 'book', 'marvel', 'world', 'il', 'milione', 'c', '1300', 'book', 'describe', 'european', 'mysterious', 'culture', 'inner', 'working', 'eastern', 'world', 'include', 'wealth', 'great', 'size', 'mongol', 'empire', 'china', 'yuan', 'dynasty', 'give', 'first', 'comprehensive', 'look', 'china', 'persia', 'india', 'japan', 'asian', 'city', 'country', 'bear', 'venice', 'marco', 'learn', 'mercantile', 'trade', 'father', 'uncle', 'niccolò', 'maffeo', 'travel', 'asia', 'meet', 'kublai', 'khan', '1269', 'returned', 'venice', 'meet', 'marco', 'first', 'time', 'three', 'embark', 'epic', 'journey', 'asia', 'explore', 'many', 'place', 'along', 'silk', 'road', 'reach', 'cathay', 'china', 'receive', 'royal', 'court', 'kublai', 'khan', 'impressed', 'marco', 'intelligence', 'humility', 'marco', 'appoint', 'serve', 'khan', 'foreign', 'emissary', 'send', 'many', 'diplomatic', 'mission', 'throughout', 'empire', 'southeast', 'asia', 'present', 'day', 'burma', 'india', 'indonesia', 'sri', 'lanka', 'vietnam', 'part', 'appointment', 'marco', 'also', 'travel', 'extensively', 'inside', 'china', 'live', 'emperor', 'land', '17', 'year', 'see', 'many', 'thing', 'previously', 'unknown', 'european', 'around', '1291', 'polo', 'also', 'offer', 'accompany', 'mongol', 'princess', 'kököchin', 'persia', 'arrive', 'around', '1293', 'leave', 'princess', 'travel', 'overland', 'constantinople', 'venice', 'return', 'home', '24', 'year', 'time', 'venice', 'war', 'genoa', 'marco', 'capture', 'imprisoned', 'genoans', 'join', 'war', 'effort', 'dictate', 'story', 'rustichello', 'da', 'pisa', 'cellmate', 'release', '1299', 'become', 'wealthy', 'merchant', 'marry', 'three', 'child', 'die', '1324', 'bury', 'church', 'san', 'lorenzo', 'venice', 'though', 'first', 'european', 'reach', 'china', 'see', 'europeans', 'medieval', 'china', 'marco', 'polo', 'first', 'leave', 'detailed', 'chronicle', 'experience', 'account', 'orient', 'provide', 'european', 'clear', 'picture', 'east', 'geography', 'ethnic', 'custom', 'first', 'western', 'record', 'porcelain', 'coal', 'gunpowder', 'paper', 'money', 'asian', 'plant', 'exotic', 'animal', 'travel', 'book', 'inspire', 'christopher', 'columbus', 'many', 'traveller', 'substantial', 'literature', 'base', 'polo', 'writing', 'also', 'influence', 'european', 'cartography', 'lead', 'introduction', 'fra', 'mauro', 'map']"
Marie Curie,People,[0.01048951 0.         0.0034965  ... 0.         0.         0.        ],"['marie', 'salomea', 'skłodowska–curie', 'kure', 'ee', 'french', 'pronunciation', '\u200b', 'maʁi', 'kyʁi', 'polish', 'pronunciation', 'ˈmarja', 'skwɔˈdɔfska', 'kʲiˈri', 'bear', 'maria', 'salomea', 'skłodowska', 'polish', 'ˈmarja', 'salɔˈmɛa', 'skwɔˈdɔfska', '7', 'november', '1867', '–', '4', 'july', '1934', 'polish', 'naturalize', 'french', 'physicist', 'chemist', 'conduct', 'pioneering', 'research', 'radioactivity', 'first', 'woman', 'win', 'nobel', 'prize', 'first', 'person', 'woman', 'win', 'nobel', 'prize', 'twice', 'person', 'win', 'nobel', 'prize', 'two', 'scientific', 'field', 'husband', 'pierre', 'curie', 'co', 'winner', 'first', 'nobel', 'prize', 'making', 'first', 'ever', 'marry', 'couple', 'win', 'nobel', 'prize', 'launch', 'curie', 'family', 'legacy', 'five', 'nobel', 'prize', '1906', 'first', 'woman', 'become', 'professor', 'university', 'paris', 'bear', 'warsaw', 'kingdom', 'poland', 'part', 'russian', 'empire', 'study', 'warsaw', 'clandestine', 'fly', 'university', 'begin', 'practical', 'scientific', 'training', 'warsaw', '1891', 'age', '24', 'follow', 'elder', 'sister', 'bronisława', 'study', 'paris', 'earn', 'high', 'degree', 'conduct', 'subsequent', 'scientific', 'work', '1895', 'marry', 'french', 'physicist', 'pierre', 'curie', 'share', '1903', 'nobel', 'prize', 'physic', 'physicist', 'henri', 'becquerel', 'pioneer', 'work', 'develop', 'theory', 'radioactivity', '—a', 'term', 'coin', '1906', 'pierre', 'curie', 'die', 'paris', 'street', 'accident', 'marie', '1911', 'nobel', 'prize', 'chemistry', 'discovery', 'element', 'polonium', 'radium', 'use', 'technique', 'invent', 'isolate', 'radioactive', 'isotope', 'direction', 'world', 'first', 'study', 'conduct', 'treatment', 'neoplasm', 'use', 'radioactive', 'isotope', '1920', 'found', 'curie', 'institute', 'paris', '1932', 'curie', 'institute', 'warsaw', 'remain', 'major', 'centre', 'medical', 'research', 'world', 'war', 'develop', 'mobile', 'radiography', 'unit', 'provide', 'x', 'ray', 'service', 'field', 'hospital', 'french', 'citizen', 'marie', 'skłodowska', 'curie', 'use', 'surnames', 'never', 'lose', 'sense', 'polish', 'identity', 'taught', 'daughter', 'polish', 'language', 'take', 'visit', 'poland', 'name', 'first', 'chemical', 'element', 'discover', 'polonium', 'native', 'country', 'marie', 'curie', 'die', '1934', 'age', '66', 'sancellemoz', 'sanatorium', 'passy', 'haute', 'savoie', 'france', 'aplastic', 'anemia', 'exposure', 'radiation', 'course', 'scientific', 'research', 'course', 'radiological', 'work', 'field', 'hospital', 'world', 'war', 'addition', 'nobel', 'prize', 'receive', 'numerous', 'honour', 'tribute', '1995', 'become', 'first', 'woman', 'entomb', 'merit', 'paris', 'panthéon', 'poland', 'declare', '2011', 'year', 'marie', 'curie', 'international', 'year', 'chemistry', 'subject', 'numerous', 'biographical', 'work', 'also', 'know', 'madame', 'curie']"
Marketing,Society and social sciences,[0.01020408 0.01530612 0.         ... 0.         0.         0.        ],"['marketing', 'process', 'explore', 'create', 'deliver', 'value', 'meet', 'need', 'target', 'market', 'term', 'good', 'service', 'potentially', 'include', 'selection', 'target', 'audience', 'selection', 'certain', 'attribute', 'theme', 'emphasize', 'advertising', 'operation', 'advertising', 'campaign', 'attendance', 'trade', 'show', 'public', 'event', 'design', 'product', 'package', 'attractive', 'buyer', 'define', 'term', 'sale', 'price', 'discount', 'warranty', 'return', 'policy', 'product', 'placement', 'medium', 'people', 'believe', 'influence', 'buying', 'habit', 'others', 'agreement', 'retailer', 'wholesale', 'distributor', 'resellers', 'attempt', 'create', 'awareness', 'loyalty', 'positive', 'feeling', 'brand', 'marketing', 'typically', 'do', 'seller', 'typically', 'retailer', 'manufacturer', 'sometimes', 'task', 'contract', 'dedicated', 'marketing', 'firm', 'advertising', 'agency', 'rarely', 'trade', 'association', 'government', 'agency', 'agricultural', 'marketing', 'service', 'advertise', 'behalf', 'entire', 'industry', 'locality', 'often', 'specific', 'type', 'food', 'e', 'g', 'get', 'milk', 'food', 'specific', 'area', 'city', 'region', 'tourism', 'destination', 'one', 'primary', 'component', 'business', 'management', 'commerce', 'marketer', 'direct', 'product', 'business', 'b2b', 'market', 'directly', 'consumer', 'b2c', 'market', 'regardless', 'market', 'several', 'factor', 'apply', 'include', 'perspective', 'marketer', 'use', 'know', 'market', 'orientation', 'determine', 'marketer', 'approach', 'plan', 'stage', 'marketing', 'marketing', 'mix', 'outline', 'specific', 'product', 'sell', 'affected', 'environment', 'surround', 'product', 'result', 'market', 'research', 'market', 'research', 'characteristic', 'product', 'target', 'market', 'factor', 'determine', 'marketer', 'must', 'decide', 'method', 'promote', 'product', 'include', 'use', 'coupon', 'price', 'inducement', 'term', 'marketing', 'commonly', 'know', 'attract', 'customer', 'incorporates', 'knowledge', 'gain', 'study', 'management', 'exchange', 'relationship', 'business', 'process', 'identify', 'anticipate', 'satisfy', 'customer', 'need', 'want']"
